DEBUG 2024-07-07 05:33:46,422 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/cryptography/hazmat/backends/__init__.py first seen with mtime 1718996194.056442
DEBUG 2024-07-07 05:33:46,422 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/corsheaders/checks.py first seen with mtime 1718996186.2723753
DEBUG 2024-07-07 05:33:46,423 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/rest_framework/utils/mediatypes.py first seen with mtime 1718996186.1723745
DEBUG 2024-07-07 05:33:46,423 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/utils/timesince.py first seen with mtime 1718996181.3843336
DEBUG 2024-07-07 05:33:46,423 autoreload File /usr/lib/python3.11/email/__init__.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,424 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/_libs/tslibs/conversion.cpython-311-x86_64-linux-gnu.so first seen with mtime 1718996190.2564096
DEBUG 2024-07-07 05:33:46,424 autoreload File /usr/lib/python3.11/quopri.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,424 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/core/util/__init__.py first seen with mtime 1718996189.9884074
DEBUG 2024-07-07 05:33:46,425 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/db/models/lookups.py first seen with mtime 1718996181.3523333
DEBUG 2024-07-07 05:33:46,425 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/numpy/__init__.py first seen with mtime 1718996177.0282962
DEBUG 2024-07-07 05:33:46,425 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1718996181.084331
DEBUG 2024-07-07 05:33:46,426 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/core/validators.py first seen with mtime 1718996181.3283331
DEBUG 2024-07-07 05:33:46,426 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/_libs/tslibs/dtypes.cpython-311-x86_64-linux-gnu.so first seen with mtime 1718996190.2564096
DEBUG 2024-07-07 05:33:46,426 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/twisted/internet/unix.py first seen with mtime 1718996186.4283767
DEBUG 2024-07-07 05:33:46,427 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1718996181.324333
DEBUG 2024-07-07 05:33:46,427 autoreload File /home/amiyou/.vscode/extensions/ms-python.debugpy-2024.6.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_extension_api.py first seen with mtime 1714821993.6224308
DEBUG 2024-07-07 05:33:46,427 autoreload File /usr/lib/python3.11/importlib/resources/_itertools.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,428 autoreload File /usr/lib/python3.11/contextlib.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,428 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/core/reshape/merge.py first seen with mtime 1718996189.9844072
DEBUG 2024-07-07 05:33:46,428 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/urllib3/util/response.py first seen with mtime 1718996176.0282876
DEBUG 2024-07-07 05:33:46,429 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/click/decorators.py first seen with mtime 1718996182.492343
DEBUG 2024-07-07 05:33:46,429 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/rest_framework/utils/encoders.py first seen with mtime 1718996186.1723745
DEBUG 2024-07-07 05:33:46,429 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/contrib/auth/backends.py first seen with mtime 1718996181.0483305
DEBUG 2024-07-07 05:33:46,429 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/contrib/admindocs/views.py first seen with mtime 1718996181.0163302
DEBUG 2024-07-07 05:33:46,430 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/attrs/__init__.py first seen with mtime 1718996182.5883439
DEBUG 2024-07-07 05:33:46,430 autoreload File /usr/lib/python3.11/email/quoprimime.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,430 autoreload File /usr/lib/python3.11/lib-dynload/_hashlib.cpython-311-x86_64-linux-gnu.so first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,431 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1718996181.3563333
DEBUG 2024-07-07 05:33:46,431 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/core/arrays/sparse/accessor.py first seen with mtime 1718996189.972407
DEBUG 2024-07-07 05:33:46,431 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/click/exceptions.py first seen with mtime 1718996182.492343
DEBUG 2024-07-07 05:33:46,432 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/core/reshape/api.py first seen with mtime 1718996189.9804072
DEBUG 2024-07-07 05:33:46,432 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/numpy/core/numerictypes.py first seen with mtime 1718996177.2362978
DEBUG 2024-07-07 05:33:46,432 autoreload File /home/amiyou/Desktop/mlcrypto/clthistoricaldata/models.py first seen with mtime 1718996136.7479498
DEBUG 2024-07-07 05:33:46,432 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/contrib/admin/widgets.py first seen with mtime 1718996180.9243295
DEBUG 2024-07-07 05:33:46,433 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/contrib/sessions/models.py first seen with mtime 1718996181.2683325
DEBUG 2024-07-07 05:33:46,433 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/channels/__init__.py first seen with mtime 1718996186.2843754
DEBUG 2024-07-07 05:33:46,433 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/io/gbq.py first seen with mtime 1718996189.948407
DEBUG 2024-07-07 05:33:46,434 autoreload File /usr/lib/python3.11/stat.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,434 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/core/internals/ops.py first seen with mtime 1718996189.972407
DEBUG 2024-07-07 05:33:46,434 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/cryptography/hazmat/primitives/_serialization.py first seen with mtime 1718996194.052442
DEBUG 2024-07-07 05:33:46,435 autoreload File /usr/lib/python3.11/tarfile.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,435 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/core/checks/security/csrf.py first seen with mtime 1718996181.332333
DEBUG 2024-07-07 05:33:46,435 autoreload File /usr/lib/python3.11/encodings/__init__.py first seen with mtime 1712754996.0
DEBUG 2024-07-07 05:33:46,436 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/numpy/core/fromnumeric.py first seen with mtime 1718996177.2122977
DEBUG 2024-07-07 05:33:46,436 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/template/loader.py first seen with mtime 1718996181.3723333
DEBUG 2024-07-07 05:33:46,436 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/template/utils.py first seen with mtime 1718996181.3723333
DEBUG 2024-07-07 05:33:46,436 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/twisted/internet/udp.py first seen with mtime 1718996186.4283767
DEBUG 2024-07-07 05:33:46,437 autoreload File /home/amiyou/.vscode/extensions/ms-python.debugpy-2024.6.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydev_bundle/_pydev_filesystem_encoding.py first seen with mtime 1714821993.5144308
DEBUG 2024-07-07 05:33:46,437 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/utils/choices.py first seen with mtime 1718996181.3803334
DEBUG 2024-07-07 05:33:46,437 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/core/files/storage/__init__.py first seen with mtime 1718996181.332333
DEBUG 2024-07-07 05:33:46,437 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/core/files/storage/filesystem.py first seen with mtime 1718996181.332333
DEBUG 2024-07-07 05:33:46,438 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/rest_framework/relations.py first seen with mtime 1718996186.1363742
DEBUG 2024-07-07 05:33:46,438 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/numpy/lib/twodim_base.py first seen with mtime 1718996177.0442963
DEBUG 2024-07-07 05:33:46,438 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/_testing/asserters.py first seen with mtime 1718996189.944407
DEBUG 2024-07-07 05:33:46,439 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/core/reshape/melt.py first seen with mtime 1718996189.9844072
DEBUG 2024-07-07 05:33:46,439 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/daphne/management/commands/runserver.py first seen with mtime 1718996194.5484464
DEBUG 2024-07-07 05:33:46,439 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/cryptography/x509/name.py first seen with mtime 1718996194.0604422
DEBUG 2024-07-07 05:33:46,439 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/http/__init__.py first seen with mtime 1718996181.3683333
DEBUG 2024-07-07 05:33:46,440 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/dateutil/parser/_parser.py first seen with mtime 1718996185.8203716
DEBUG 2024-07-07 05:33:46,440 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/django/contrib/admin/checks.py first seen with mtime 1718996180.9203296
DEBUG 2024-07-07 05:33:46,440 autoreload File /home/amiyou/.vscode/extensions/ms-python.debugpy-2024.6.0-linux-x64/bundled/libs/debugpy/_vendored/pydevd/_pydev_bundle/pydev_console_utils.py first seen with mtime 1714821993.5224307
DEBUG 2024-07-07 05:33:46,441 autoreload File /home/amiyou/Desktop/mlcrypto/env/lib/python3.11/site-packages/pandas/core/dtypes/generic.py first seen with mtime 1718996189.9844072
